"Protein","ENTREZID","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B","Ctrl_1","Ctrl_2","Ctrl_3","Ctrl_4","Ctrl_5","IMP_1","IMP_2","IMP_3","IMP_4","IMP_5","group"
"Q9H2G9",8548,"BLZF1",3.11521613642187,-2.12758083912202,11.5223957809405,6.23900367479095e-07,0.000166111332911895,6.71156541754438,-3.7044028412508,-3.44927449610221,-4.18336818337199,-2.89217066474929,-4.19672835119047,-0.252849640976773,-0.506114473252005,-1.0784038604374,-0.351752576265449,-0.660743303623786,"Upregulated"
"Q8N5I9",121053,"NOPCHAP1",-4.94971048368196,-4.05724697883924,-11.4799614726054,6.44955922685819e-07,0.000166111332911895,6.67940853485263,-2.02149735599013,-1.36003722168443,-2.05776644608576,-1.74362866553752,-0.729028995693467,-6.98830653356043,-5.96801383211176,-5.52133942597103,-7.77031125269201,-6.41254005906588,"Downregulated"
"Q9NPL8",51300,"TIMMDC1",-1.32030738754447,-2.42720645945658,-11.4413805119175,6.64777720507834e-07,0.000166111332911895,6.6500598808559,-1.90048040188737,-1.7999329333317,-1.68237943417152,-1.79455727661483,-1.6579137824163,-2.93060645763461,-3.22397244580682,-2.9175287530842,-3.02123252182582,-3.3434605877926,"Downregulated"
"O43889",10488,"CREB3",5.67086789660642,-3.58688170259675,10.8172950123291,1.09872145197904e-06,0.000263561301900733,6.16005240491659,-6.789023837737,-7.19376937947402,-6.81787605659965,-5.33154215799238,-5.97936682269673,-0.969952580240731,-0.570941764695491,0.882931546043313,-1.2740991657321,-1.8251768068427,"Upregulated"
"P98160",3339,"HSPG2",2.50007468899204,-0.87447533866329,10.7047485836272,1.20613223648506e-06,0.00027819903931542,6.06851957973974,-2.15963319720634,-2.79707408879186,-1.35619908433331,-2.10887926982662,-2.20077777563842,0.141505813884932,0.617496137515235,0.330662298665208,0.43354154942044,0.354604229677836,"Upregulated"
"P49642",5557,"PRIM1",-1.62892875815693,-2.53905295519798,-10.5752039685863,1.34423688988045e-06,0.000291968191848071,5.96191826432159,-1.72036479894939,-1.796897641869,-1.41317367889414,-1.75268170406733,-1.93982505681771,-3.35187963870798,-3.20499687134572,-3.81086036480873,-3.1642395688449,-3.23561022767491,"Downregulated"
"Q15011",9709,"HERPUD1",2.52276398913846,-1.34116767645632,10.5585629080746,1.3631998285386e-06,0.000291968191848071,5.9481268411215,-2.3663471528187,-2.29875089217407,-2.52047435380479,-2.90418946304329,-2.92298649328689,-0.012376207302311,-0.135811574684853,-0.80521107659346,0.492515799610847,0.0619546495343232,"Upregulated"
"Q15582",7045,"TGFBI",2.52485900799967,-2.52601275446175,10.4614391850909,1.47989515767702e-06,0.000306032112434107,5.86718649748877,-3.20745263216372,-4.01700770256009,-3.65906878038921,-3.97068147446645,-4.08800070272848,-1.25938387424271,-1.83661456649105,-1.45890135492701,-1.06846719418309,-0.694549262465711,"Upregulated"
"Q9Y3X0",26093,"CCDC9",1.09184894352556,-2.2893263946417,10.3626143372908,1.60997259978434e-06,0.000321833522696889,5.78403543130757,-2.97430672007379,-2.74556166248125,-2.9505607767244,-2.69621441697277,-2.80961075577021,-1.63124475284627,-1.71432941490629,-1.69241240623876,-1.71203961843151,-1.96698342197178,"Upregulated"
"O00622",3491,"CCN1",4.39396659476574,-4.40774427047828,10.3156852662074,1.67608866313707e-06,0.000324242055252677,5.7442661929418,-6.26943866194894,-7.37216278143733,-6.68804795448904,-6.55848213611765,-6.13550630531278,-2.49471201458715,-2.86081934971665,-0.639763900424666,-2.29895507377689,-2.75955452697166,"Upregulated"
"Q96FZ2",56941,"HMCES",-2.42228985525926,-3.98993863361708,-10.2497524714586,1.77405800403639e-06,0.000332469557818944,5.68808154313205,-2.98499529166002,-2.91239118130175,-2.40902809131637,-3.1696738503379,-2.4178801153212,-4.8918400645459,-5.67515683163564,-4.73204010984344,-5.09475816116837,-5.61162263904019,"Downregulated"
"Q96D15",57333,"RCN3",4.36170071552418,-4.64241066367424,10.1143251552889,1.99556975184023e-06,0.000362649448538966,5.57152445962818,-6.26226792906808,-7.76510092674038,-7.02189131123687,-6.17593175492728,-6.89111318520904,-3.4886761293732,-2.03424232621733,-1.50318360488122,-2.17485624012431,-3.10684322896467,"Upregulated"
"Q8NAN2",374986,"MIGA1",1.75982428538122,-2.87995514914218,10.028932455727,2.15072538640191e-06,0.000369103661927345,5.4972228120714,-4.09005877699225,-4.06969654235055,-3.44965824110604,-3.49401035173907,-3.69591254697607,-2.01088392223389,-1.69590172902204,-1.87286480483342,-2.09529311921466,-2.32527145695384,"Upregulated"
"Q9NQW6",54443,"ANLN",-3.48996288875564,-4.40091966351071,-10.006911394197,2.1928480243095e-06,0.000369103661927345,5.47795950658592,-2.21128023823984,-2.81035728580323,-2.73192149984722,-2.64427258334464,-2.88185948842954,-5.58766940271783,-7.34286188361883,-5.90988834834614,-5.38885419016262,-6.50023171459726,"Downregulated"
"O75581",4040,"LRP6",-3.03510705777284,-4.35575771816627,-9.9951425064885,2.21572983648231e-06,0.000369103661927345,5.46764715846945,-2.09444942431691,-3.06938923175511,-3.37549104003376,-2.73562838890544,-2.91606286138804,-6.09148667509305,-6.55778742160946,-5.19255676585393,-5.48316869410741,-6.04155667859962,"Downregulated"
"Q9H2J4",79031,"PDCL3",-1.20670311538196,-1.55681583119082,-9.86817811175569,2.47992346479893e-06,0.000381831219202425,5.35562379458768,-0.960133836251096,-1.0191806312593,-0.763359076205871,-1.02248194986589,-1.00216587391703,-2.02836352734912,-2.29955634282014,-2.31051273091505,-2.30533457897094,-1.85706976435375,"Downregulated"
"Q8TCU4",7840,"ALMS1",1.68152736065289,-2.81791691516795,9.84944905435919,2.5217352382396e-06,0.000381831219202425,5.33897824872398,-3.77228158801561,-3.77969699370013,-3.58548417091554,-3.43381438104838,-3.72212584379232,-1.78120956878412,-2.08515719878543,-1.89049156881773,-1.61728739768559,-2.51162044013468,"Upregulated"
"O94985",22883,"CLSTN1",3.61121503832681,-1.44853113646888,9.84469538064789,2.53247002099459e-06,0.000381831219202425,5.33474843330262,-3.41837511471847,-4.31428478636061,-2.47501337988861,-2.39111544446909,-3.67190455272464,0.296771642011166,0.704998526664714,0.155442248638291,-0.0328849828751827,0.661054479033621,"Upregulated"
"P56270",4150,"MAZ",-1.70236922525415,-5.04852544243327,-9.81588297195403,2.59861487948138e-06,0.000381831219202425,5.30906806808593,-4.31994834219863,-4.34706201656616,-3.74870133175144,-4.39187862809562,-4.17911383041913,-5.62860779249106,-6.14823741065112,-6.05350341612572,-6.09690441045843,-5.57129724557538,"Downregulated"
"O75976",1362,"CPD",-0.97509557261213,0.0459425770578233,-9.80680552376773,2.61984414757277e-06,0.000381831219202425,5.30096202146763,0.655714557116114,0.382582766382869,0.550061923670218,0.624519903750071,0.454572665900168,-0.607211774171204,-0.358064996034982,-0.416018767356377,-0.344893243195965,-0.481837265482679,"Non-significant"
"Q99618",83461,"CDCA3",-4.01098256431181,-4.72926673444817,-9.77172841274655,2.7036811758267e-06,0.000381831219202425,5.26956920843798,-1.82929357523102,-3.30245224122578,-2.46650102954432,-2.99018551646088,-3.03044489899932,-8.03500282657487,-6.06436265313708,-6.8755680715366,-6.15274773195714,-6.54610879981467,"Downregulated"
"Q969M3",81555,"YIPF5",1.07420080055709,1.55340805561402,9.72222552338611,2.82703631743381e-06,0.000381831219202425,5.22507741508891,1.16544916882397,0.897189787732279,1.01736509023231,0.994727772176705,1.00680645771214,2.08695335019985,1.87393052748168,2.25724022261832,2.2604700751027,1.97394810406028,"Upregulated"
"O75396",9554,"SEC22B",1.07289850056779,1.55381491916776,9.70954140735333,2.85962640568712e-06,0.000381831219202425,5.2136416399479,0.947520410090226,1.10975883276415,1.10554531740466,0.791690022842558,1.13231376131772,1.9487501006179,2.30547756218239,2.04344453870226,2.07518330845983,2.07846533729589,"Upregulated"
"O15551",1365,"CLDN3",5.05399000867632,-3.63988698237111,9.70740085012086,2.86516672738188e-06,0.000381831219202425,5.21171031285466,-6.21981842055267,-6.47401867954669,-7.01678415969267,-5.7187313347824,-5.40505733897193,-1.56799107521388,-1.14038204418428,0.754412976581595,-2.03457208329819,-1.57592766404998,"Upregulated"
"P28288",5825,"ABCD3",-1.50039212331141,-1.41402049526856,-9.60198038832628,3.15312065653001e-06,0.000408757387263804,5.11607740035086,-0.57133727952331,-0.778807840535885,-0.393708883960779,-0.695668382031871,-0.879599782012405,-2.23129526696479,-2.04561989929379,-2.58058944387485,-2.13352577894474,-1.83005239554314,"Downregulated"
"Q08379",2801,"GOLGA2",0.852946562643765,-1.04687290645301,9.5439673279456,3.32498600544691e-06,0.000408757387263804,5.06301500030395,-1.47929794773671,-1.50847579850343,-1.53105599024001,-1.31847032079402,-1.52943088160031,-0.601031978366398,-0.602521135882711,-0.637472863536855,-0.730682295041056,-0.530289852828635,"Non-significant"
"P49674",1454,"CSNK1E",-1.23262398817151,-2.81606531002241,-9.53332855700351,3.35760264070032e-06,0.000408757387263804,5.05325029867525,-2.0072431786309,-2.31604949001134,-2.08678534892135,-2.38280150236664,-2.20588705975305,-3.67446714970027,-3.37790647189449,-3.46131951337346,-3.52351184168164,-3.12468154389096,"Downregulated"
"Q9NV92",54602,"NDFIP2",3.80908745459017,-3.60800902671708,9.53044186385152,3.36651302816044e-06,0.000408757387263804,5.05059895954579,-6.02158228873396,-5.14665590674088,-5.53461055319165,-6.34058860533628,-4.51932641605807,-1.79353829697293,-1.62423397032967,-0.715560971670891,-1.91136240976217,-2.47263084837431,"Upregulated"
"Q8TB61",347734,"SLC35B2",-1.14673339605488,0.120449922636772,-9.51710559455049,3.40801556831586e-06,0.000408757387263804,5.03833994422688,0.53293957715056,0.730063594871838,0.645019742518403,0.785487123321155,0.775573065459105,-0.538420510750785,-0.190416592273125,-0.366848339920768,-0.431683184075448,-0.737215249933213,"Downregulated"
"Q5JTH9",23223,"RRP12",1.11779519305725,1.36785939502122,9.36895247309774,3.90870779817543e-06,0.000459618052267805,4.90103307802055,0.691856786297958,0.773370241516559,0.704973771570177,1.13497663277628,0.739631560302018,2.13486305640654,1.84316803865031,1.9631815984091,1.82075540703215,1.87181685725115,"Upregulated"
"P05121",5054,"SERPINE1",3.89798104994165,-1.81407913092195,9.3125678925334,4.11996384616094e-06,0.000467614797399239,4.84823061154965,-3.30403410965304,-3.67988264102951,-3.13141641890002,-5.366031033898,-3.33398407598329,-0.540405620071912,0.139664450557318,0.124176588567537,0.437120976395568,0.514000574795878,"Upregulated"
"P11021",3309,"HSPA5",1.35226542884685,5.67795428615317,9.30927965194776,4.13266370888105e-06,0.000467614797399239,4.84514189816842,4.91189879644199,4.95311542358117,5.18586177421147,4.65914889708718,5.29908296732689,6.28857535887972,6.31025315136884,6.65377881414311,6.21961158832145,6.29821609016984,"Upregulated"
"Q8TCG1",57650,"CIP2A",-1.07148018562567,-1.64886056861945,-9.2626614957261,4.31739650308824e-06,0.000479470867204078,4.80124078609403,-1.14707703528813,-1.06269735979975,-1.0299747030864,-1.17830200619498,-1.1475512746638,-2.27690295286558,-1.97040724960306,-2.40963347659497,-2.30022529951949,-1.96583432857829,"Downregulated"
"P08069",3480,"IGF1R",-0.879767665908546,-1.82990754356943,-9.23480898902605,4.43206537214246e-06,0.00048325629157706,4.7749116656104,-1.45538217352287,-1.43656907944831,-1.38525667971339,-1.18261457989663,-1.49029604049457,-2.1621200655901,-2.26291743051941,-2.35441744872602,-2.27222389355529,-2.29727804422768,"Non-significant"
"Q15773",8079,"MLF2",1.55424011522465,-0.20356368433208,9.21420730860606,4.51902543065349e-06,0.000483939205493375,4.75538848107499,-1.10901216457861,-1.22132282214007,-1.05295074579935,-0.698237335594808,-0.821895641609177,0.474771614315791,0.677642533933807,1.02754431936316,0.228078668965785,0.459744729822668,"Upregulated"
"P08240",6734,"SRPRA",1.03455834576204,-0.924569867754361,9.08012247054312,5.13269825502524e-06,0.00053762970291058,4.6273107784628,-1.52539870338263,-1.53163113409213,-1.17335285643934,-1.59312543202099,-1.38573707724181,-0.341208262288736,-0.450319246273171,-0.461473308539149,-0.549720243916906,-0.23373241334875,"Upregulated"
"Q16769",25797,"QPCT",2.71451537169872,-3.16890518032058,9.0665576149239,5.19968697162141e-06,0.00053762970291058,4.61425514246605,-4.05743891289918,-4.64590451146558,-4.4186762345671,-4.33662541744385,-5.172169254474,-1.51855476792995,-2.3221498001008,-2.53083735883437,-1.41099562577647,-1.27569991971452,"Upregulated"
"Q12860",1272,"CNTN1",-1.11965802943185,0.633236036945186,-9.02561505223559,5.40774298970749e-06,0.000549664995072471,4.5747388413459,1.1574284913056,1.24367919229693,1.11295295307876,1.06102380752285,1.39024081410142,0.0659893746603885,-0.0109093814159902,0.317175531213306,-0.209656676144967,0.204436262833564,"Downregulated"
"Q9BV36",79083,"MLPH",-1.27070744887076,-2.04398905193831,-8.99173634778379,5.58679196779483e-06,0.000558399857181094,4.54191406602216,-1.26725457604609,-1.41576522087869,-1.50430603374433,-1.59437047594619,-1.26148033089934,-2.71458983844257,-2.93957119012434,-2.33368144259224,-2.52383288869862,-2.88503852201065,"Downregulated"
"Q70UQ0",121457,"IKBIP",1.17306801225186,-0.137870185178559,8.94386932248689,5.85091093176372e-06,0.000569964839703064,4.49534013085919,-0.891189331362012,-0.516202944760727,-0.972119338703669,-0.485645334804955,-0.756864006891077,0.702512412343055,0.404874596094948,0.393010067664915,0.340212582906479,0.402709445727456,"Upregulated"
"Q9H3U5",64747,"MFSD1",1.67338624687538,-0.281176185975124,8.90741084393663,6.06123752754524e-06,0.000569964839703064,4.45971171421894,-1.25521172589731,-1.3621169473316,-1.26958310634108,-0.620633088904498,-1.08180167858957,0.381328731711122,0.864976600585775,0.897310188167084,0.336568014921383,0.297401151927454,"Upregulated"
"Q9NRX5",57515,"SERINC1",1.83416971719806,-1.91381918223277,8.90174043622867,6.09468607133991e-06,0.000569964839703064,4.45415832557801,-2.74367177006163,-2.84004900097785,-2.34343944149814,-3.45688672378394,-2.77047326783743,-0.982781635794771,-1.16705929050458,-1.26338863733864,-0.941188500281088,-0.629253554249594,"Upregulated"
"Q02388",1294,"COL7A1",1.08625874100979,-0.831275680396351,8.89944612698253,6.10827700703948e-06,0.000569964839703064,4.451910437526,-1.27203839123211,-1.2843265225276,-1.2705317001119,-1.71175876285445,-1.33336987778018,-0.454484731972407,-0.203067232608348,-0.417317210937832,-0.176938802260092,-0.188923571678592,"Upregulated"
"Q08431",4240,"MFGE8",1.64569490651325,-1.6322387470159,8.88584379071345,6.18953748758356e-06,0.000569964839703064,4.43857235157956,-2.03301420616845,-2.7704612825922,-2.45595167998708,-2.22303211243607,-2.79297172017882,-0.955622473992231,-0.972278806226118,-0.950074914644293,-0.770621763285091,-0.398358510648618,"Upregulated"
"Q13112",8208,"CHAF1B",-1.69769948691337,-2.33583392390659,-8.87211556593541,6.27274961153947e-06,0.000569964839703064,4.42509176484384,-1.29712404380007,-1.65311016720937,-1.38631515062934,-1.39650661688944,-1.70186492372132,-3.44464201268077,-2.94568560537878,-3.4981831996866,-3.42502470087426,-2.60988281819598,"Downregulated"
"O95817",9531,"BAG3",0.986060015757645,-0.633297428537253,8.82961631820678,6.53820245360744e-06,0.00058521791215349,4.38323737606461,-1.2752615999912,-1.16079522085352,-1.2054175643575,-0.828349514148956,-1.1618132827292,-0.021004069800802,-0.0900222832946209,-0.106239242701156,-0.275270068983166,-0.208801438512406,"Non-significant"
"P07947",7525,"YES1",-1.06188865905383,1.05066615725715,-8.75573277986971,7.02938502588259e-06,0.000618354499940124,4.3100341105132,1.52955358621666,1.68422388557344,1.41221597869953,1.81462424447003,1.46743473896066,0.517954644546063,0.709477446212059,0.337207283812403,0.38370539874283,0.650264365337803,"Downregulated"
"Q9NUQ9",51571,"CYRIB",-1.75745206372289,-0.523123957542563,-8.74348557040354,7.1146340663446e-06,0.000618354499940124,4.29784527110574,0.12638036622247,0.559172882685182,0.576986909106156,0.0543068032717191,0.461163410308873,-1.10659090337803,-1.5356415237958,-1.50701040498127,-0.946581823336634,-1.9134252915283,"Downregulated"
"Q9NVI1",55215,"FANCI",-1.56344549966495,-2.5132118300554,-8.72704215248132,7.23087305815756e-06,0.000619479224711013,4.28145578056938,-1.9508310015948,-1.69673998496007,-1.94549594065796,-1.52591615348749,-1.53846232041433,-3.14499955378544,-3.36634682628224,-2.86173294133558,-3.31618241373133,-3.7854111643048,"Downregulated"
"O60271",9043,"SPAG9",0.841908830729406,1.05529496786218,8.70355904858703,7.40048883435338e-06,0.000621223805697651,4.25800099945071,0.621575198790484,0.613123170504615,0.525883484804963,0.866561490481146,0.544559417906161,1.53576277067389,1.47822307662648,1.45026565272254,1.40093875969186,1.51605665641963,"Non-significant"
"P54886",5832,"ALDH18A1",0.906855684011192,-0.310019341078608,8.695673698297,7.45841487580972e-06,0.000621223805697651,4.25011228590174,-0.978240269616467,-0.673274495528107,-0.666295810626338,-0.85586751644708,-0.643557823203027,0.236080970237971,0.228689672517531,0.117304598130047,0.00599412968418325,0.12897313406521,"Non-significant"
"P10451",6696,"SPP1",4.43942040856428,-0.822333736222839,8.57482843096523,8.41099855394097e-06,0.000690969292164164,4.12840015047966,-2.55199343251544,-1.51804010872505,-3.97954611256477,-3.83694859979269,-3.32369144892694,1.70946334050872,0.983506468455908,0.337151316420277,2.16033197335411,1.79642924155748,"Upregulated"
"Q6FIF0",54469,"ZFAND6",-1.39559546120358,-2.19936502380372,-8.55119687574702,8.61238875369967e-06,0.000697952639945093,4.10441888466572,-1.86518037521257,-1.59709483257083,-1.10751318395415,-1.6281277186698,-1.30992035560232,-2.60857608140004,-2.98627533198762,-2.8367790381008,-3.13208139746983,-2.92210192306927,"Downregulated"
"Q08378",2802,"GOLGA3",0.753474961993462,-0.407932538453685,8.5327981206199,8.77283125405013e-06,0.000699893476917547,4.08570673883377,-0.880333903864174,-0.839996068525653,-0.706608227812423,-0.773902218899612,-0.722509678150218,-0.0499612577877703,0.0521776987020666,0.0403885339246898,-0.0520192740562536,-0.146560988067503,"Non-significant"
"Q96HC4",10611,"PDLIM5",-0.726209349967286,-0.0313638816927173,-8.52186087311445,8.86975225041414e-06,0.000699893476917547,4.07456609287734,0.298679422312965,0.284131594121373,0.345817411039899,0.336566158933866,0.393509380046526,-0.470312732330572,-0.312912851753405,-0.293722637039792,-0.446527150561901,-0.448867411696132,"Non-significant"
"P04899",2771,"GNAI2",-2.18998859889212,-4.30032603862909,-8.45074341778365,9.52920996711563e-06,0.000740668284258703,4.00181361458779,-2.75744986399925,-3.39602427357442,-3.580808647366,-2.72033969567645,-3.57203621529903,-5.93040561739839,-5.01566953503316,-5.55329031854634,-5.56972708480834,-4.90750913458952,"Downregulated"
"P04818",7298,"TYMS",-6.80062032088785,-3.93002062732516,-8.42884842656378,9.74287509139265e-06,0.000740668284258703,3.97930568521043,0.770093425062684,-1.76988354202797,-0.597273597564268,0.0742082326989101,-1.12569685257554,-6.73351099878796,-9.70999402623804,-6.16138178055457,-5.61972004461964,-8.42704708864523,"Downregulated"
"Q15437",10483,"SEC23B",1.11131823253591,-0.407095751781117,8.41544894092612,9.876212271035e-06,0.000740668284258703,3.9655055217665,-1.05968248512752,-0.824888581169899,-0.762716111009502,-1.20133231113346,-0.965154851804986,0.386715903441596,-0.00172928336040656,-0.0987566564849618,0.251238616713729,0.205348242124244,"Upregulated"
"Q8IWJ2",9648,"GCC2",0.888391872114976,-0.868189899904378,8.41501960354108,9.88051738214045e-06,0.000740668284258703,3.96506302463972,-1.39717664130682,-1.44848188427599,-1.32776538137144,-1.07308853086693,-1.31541674198815,-0.388438519363864,-0.396982545685251,-0.300321341876361,-0.590808513177251,-0.443418899131723,"Non-significant"
"Q86SQ9",79947,"DHDDS",3.53851576964618,-2.71949265065582,8.37860475491139,1.02532264758836e-05,0.000759118508344125,3.92745919855844,-5.71565681101747,-3.80004284788622,-4.71857764593727,-3.99985555647361,-4.20961981607998,-0.173383340805713,-0.450196053920163,-1.09120874240746,-1.15130174577126,-1.88508394625904,"Upregulated"
"Q9HAS0",64149,"C17orf75",-0.954925197327599,-3.99855460472454,-8.27714459093311,1.13751031438995e-05,0.000831908457975187,3.82192227589161,-3.66512151051204,-3.58258952715776,-3.37486111918924,-3.52194546396804,-3.46094240947663,-4.28397167193662,-4.61423997123967,-4.38466772422757,-4.38096866148026,-4.71623798805759,"Non-significant"
